review_id,product_sku,theme_id
FCR-001680,B000FFUQZO,completely stopped
FCR-001685,B001PB8EJ2,completely stopped
FCR-001688,B0009ONZ8G,spits
FCR-001723,B000FFUQZO,don't waste money.
FCR-001726,B0009ONZ8G,completely stopped
FCR-001741,B0009ONZ8G,completely stopped
FCR-001742,B0009ONZ8G,broke within
FCR-001775,B0009ONZ8G,completely stopped
FCR-001802,B0009ONZ8G,less months
FCR-001840,B0009ONZ8G,spits
FCR-001845,B001PB8EJ2,will returning
FCR-001868,B0009ONZ8G,completely stopped
FCR-001871,B001PB8EJ2,will returning
FCR-001872,B001PB8EJ2,service center
FCR-001917,B0009ONZ8G,even last
FCR-001923,B0009ONZ8G,refused
FCR-001927,B0009ONZ8G,broken.
FCR-001952,B000C7GZ2I,completely stopped
FCR-002023,B000N1XPG2,went use
FCR-002025,B000C7GZ2I,even last
FCR-002042,B0009ONZ8G,completely stopped
FCR-002045,B0009ONZ8G,completely stopped
FCR-002055,B001PB8EJ2,don't waste money.
FCR-002060,B0009ONZ8G,expired
FCR-002064,B0009ONZ8G,spits
FCR-002067,B002TUU2GQ,don't waste money.
FCR-002076,B07CQFHDN7,completely stopped
FCR-002078,B0068RU4LE,expired
FCR-002079,B000N1XPG2,will returning
FCR-002136,B0009ONZ8G,completely stopped
FCR-002172,B002FYTRCQ,completely stopped
FCR-002177,B0068RU4LE,completely stopped
FCR-002186,B07CQFHDN7,authorized
FCR-002211,B001PB8EJ2,lemon
FCR-002212,B001PB8EJ2,spits
FCR-002261,B0009ONZ8G,completely stopped
FCR-002269,B002TUU2GG,work all.
FCR-002272,B001PB8EJ2,even last
FCR-002296,B0009ONZ8G,don't waste money.
FCR-002301,B0009ONZ8G,don't waste money.
FCR-002322,B000FFUQZO,broken.
FCR-002335,B0019KOFEC,don't waste money.
FCR-002351,B002TUU2GQ,cheaply made.
FCR-002371,B0009ONZ8G,completely stopped
FCR-002376,B0009ONZ8G,don't waste money.
FCR-002383,B000N1XPG2,better off
FCR-002401,B0009ONZ8G,work all.
FCR-002418,B0009ONZ8G,spits
FCR-002433,B001PB8EJ2,don't waste money.
FCR-002454,B0068RU4LE,buyer
FCR-002463,B0009ONZ8G,high hopes
FCR-002473,B0009ONZ8G,completely stopped
FCR-002487,B0009ONZ8G,don't waste money.
FCR-002495,B0009ONZ8G,service center
FCR-002513,B0019KOFEC,don't waste money.
FCR-002543,B0009ONZ8G,wanted love
FCR-002571,B000FFUQZO,don't waste money.
FCR-002577,B000FFUQZO,better off
FCR-002588,B000FFUQZO,don't waste money.
FCR-002596,B0009ONZ8G,don't waste money.
FCR-002608,B0009ONZ8G,completely stopped
FCR-002615,B0009ONZ8G,completely stopped
